recnumb,subj,day,scc,tri,Posevent,NegEvent,pa,na,posC,negC,paC,naC,anx,anxC
113,9,7,1.25,3,0.428571433,1.666666627,2.799999952,4.5,-0.952380935,0.661111071,-0.933333397,0.080000011,65,21.62192387
114,9,8,1,5,1.785714269,0.583333313,5.099999905,2.599999905,0.404761901,-0.422222243,1.366666555,-1.820000084,65,21.62192387
115,9,9,1,6,2.357142925,0.666666687,5.400000095,1.899999976,0.976190557,-0.33888887,1.666666746,-2.520000013,65,21.62192387
116,9,10,1,5,1.285714269,0.333333343,4.400000095,3.200000048,-0.095238099,-0.672222213,0.666666746,-1.219999941,65,21.62192387
117,9,11,1.25,4,1.285714269,0.666666687,2.599999905,4.400000095,-0.095238099,-0.33888887,-1.133333445,-0.019999894,65,21.62192387
118,9,12,1.25,3.333333254,0.785714269,0.666666687,3.099999905,5.900000095,-0.595238099,-0.33888887,-0.633333445,1.480000106,65,21.62192387
119,9,13,1.25,2,0.857142866,1,2.900000095,5.900000095,-0.523809503,-0.005555556,-0.833333254,1.480000106,65,21.62192387
120,9,14,1,4.333333492,1.428571463,1.166666627,2.200000048,4,0.047619094,0.161111071,-1.533333302,-0.419999989,65,21.62192387
121,9,15,1,5.333333492,1.285714269,0.25,3.400000095,4,-0.095238099,-0.755555556,-0.333333254,-0.419999989,65,21.62192387
122,10,1,2.25,3.333333254,1.214285731,0.5,4.300000191,4.099999905,0.409722243,-0.111111109,0.705983089,0.692307601,61,17.62192387
123,10,2,2.5,4.666666508,1.071428537,0.666666687,4.900000095,2.599999905,0.266865049,0.055555577,1.305982993,-0.807692399,61,17.62192387
124,10,3,3.75,2.333333254,0.357142866,0.75,2.799999952,4.5,-0.447420623,0.138888891,-0.79401715,1.092307696,61,17.62192387
125,10,4,3.25,5,1.071428537,0.333333343,4.400000095,2.900000095,0.266865049,-0.277777766,0.805982993,-0.507692209,61,17.62192387
126,10,5,2.75,3,0.428571433,0.5,3.099999905,3.299999952,-0.375992056,-0.111111109,-0.494017198,-0.107692352,61,17.62192387
127,10,6,3,4,0.214285716,0.833333313,3,3.700000048,-0.590277772,0.222222204,-0.594017102,0.292307744,61,17.62192387
128,10,7,3,6,1.357142806,0,4.900000095,2.900000095,0.552579317,-0.611111109,1.305982993,-0.507692209,61,17.62192387
129,10,8,3.5,2,0.714285731,0.5,3.099999905,3.900000095,-0.090277757,-0.111111109,-0.494017198,0.492307791,61,17.62192387
130,10,9,2.5,4,0.785714269,0.5,2.900000095,3.5,-0.01884922,-0.111111109,-0.694017007,0.092307696,61,17.62192387
131,10,10,3.25,3.333333254,0.857142866,0.833333313,3.22222209,3.299999952,0.052579377,0.222222204,-0.371795012,-0.107692352,61,17.62192387
132,10,11,2.75,5,1.083333373,0.416666657,4.099999905,2.799999952,0.278769884,-0.194444453,0.505982802,-0.607692352,61,17.62192387
133,10,12,2.75,3,0.5,1.5,2.799999952,3.099999905,-0.304563489,0.888888891,-0.79401715,-0.307692399,61,17.62192387
134,11,1,4.5,4.333333492,1.5,0.333333343,3.099999905,2.299999952,0.063025206,-0.098039207,-0.347058885,-0.194117672,56,12.62192387
135,11,2,4.75,3.666666746,0.857142866,0.666666687,2.799999952,3.099999905,-0.579831928,0.235294136,-0.647058838,0.60588228,56,12.62192387
136,11,3,4.75,3,0.428571433,1,2.700000048,3.400000095,-1.008403361,0.56862745,-0.747058742,0.905882471,56,12.62192387
137,11,4,4.5,4.666666508,0.857142866,0.083333336,3.5,2,-0.579831928,-0.348039214,0.05294121,-0.494117625,56,12.62192387
138,11,5,4.75,4.666666508,0.857142866,0.25,2.799999952,1.899999976,-0.579831928,-0.18137255,-0.647058838,-0.594117648,56,12.62192387
139,11,6,4.75,3.666666746,1.285714269,0.333333343,2.799999952,3.299999952,-0.151260525,-0.098039207,-0.647058838,0.805882328,56,12.62192387
140,11,7,5,5,1.928571463,0.083333336,4.599999905,1.600000024,0.491596669,-0.348039214,1.152941115,-0.894117601,56,12.62192387
141,11,8,5,4.333333492,1.714285731,0.333333343,2.799999952,2.099999905,0.277310938,-0.098039207,-0.647058838,-0.39411772,56,12.62192387
142,11,9,5,5,1.928571463,0.333333343,4.300000191,2,0.491596669,-0.098039207,0.852941401,-0.494117625,56,12.62192387
143,11,10,6,5.666666508,2.285714388,0.083333336,5.199999809,2,0.848739594,-0.348039214,1.752941019,-0.494117625,56,12.62192387
144,11,11,5,5,1.285714269,0.833333313,4.099999905,2.5,-0.151260525,0.401960763,0.652941115,0.005882375,56,12.62192387
145,11,12,5,5,1.071428537,0.583333313,3.599999905,2.099999905,-0.365546256,0.151960763,0.152941115,-0.39411772,56,12.62192387
146,11,13,5,5,2.214285612,0.5,4.5,2.200000048,0.777310818,0.06862745,1.05294121,-0.294117577,56,12.62192387
147,11,14,5,3.333333254,1.5,0.833333313,2.700000048,3.299999952,0.063025206,0.401960763,-0.747058742,0.805882328,56,12.62192387
148,11,15,5,5,2,0.333333343,3.299999952,2.299999952,0.563025206,-0.098039207,-0.147058838,-0.194117672,56,12.62192387
149,11,16,5,5,1.285714269,0.333333343,3.200000048,2.599999905,-0.151260525,-0.098039207,-0.247058742,0.10588228,56,12.62192387
150,11,17,5,3.666666746,1.428571463,0.416666657,2.599999905,3.700000048,-0.008403331,-0.014705893,-0.847058885,1.205882423,56,12.62192387
151,12,1,3.25,6,1.571428537,0.383333355,4.699999809,1.899999976,0.666666641,-0.275555538,1.421428425,-0.449999997,54,10.62192387
152,12,2,4.5,5,0.714285731,1,2.5,1.799999952,-0.190476165,0.341111107,-0.778571384,-0.55000002,54,10.62192387
153,12,3,3.25,3,0.142857149,0.833333313,1.700000048,3.200000048,-0.761904747,0.17444442,-1.578571337,0.850000075,54,10.62192387
